date,model,tier,architecture,vram_gb,lhr,msrp_usd,street_price_usd,premium_pct,eth_hashrate_mh,price_per_mh,eth_avg,eth_high,eth_low,eth_std,btc_avg,btc_high,btc_low,btc_std,data_source
2021-03-01,RTX 3060,XX60,Ampere,12,0,329,828.0,151.67,48,17.25,1736.8612903225805,1924.69,1492.61,118.95212467604874,54998.00806451613,61243.09,48378.99,3713.973760696591,Tom's Hardware / PCMag / 3D Center
2021-04-01,RTX 3060,XX60,Ampere,12,0,329,865.0,162.92,48,18.02,2297.674,2773.21,1971.08,230.9562789734052,57206.719333333334,63503.46,49004.25,3801.3934502721418,Tom's Hardware / PCMag / 3D Center
2021-05-01,RTX 3060,XX60,Ampere,12,0,329,900.0,173.56,48,18.75,3140.7312903225807,4168.7,2109.58,610.0490844062847,46443.287419354834,58803.78,34616.07,8918.501704551792,Tom's Hardware / PCMag / 3D Center
2021-06-01,RTX 3060,XX60,Ampere,12,0,329,874.0,165.65,48,18.21,2335.7926666666667,2855.13,1813.22,301.9876175576756,35845.155999999995,40406.27,31637.78,2375.493579768506,Tom's Hardware / PCMag / 3D Center
2021-07-01,RTX 3060,XX60,Ampere,12,0,329,718.0,118.24,48,14.96,2131.08,2536.21,1787.51,188.59930584884623,34444.97516129032,42235.55,29807.35,3155.950164981349,Tom's Hardware / PCMag / 3D Center
2021-08-01,RTX 3060,XX60,Ampere,12,0,329,723.0,119.76,48,15.06,3098.3848387096773,3433.73,2502.35,234.3535155254555,45709.022580645156,49546.15,38152.98,3266.435839294333,Tom's Hardware / PCMag / 3D Center
2021-09-01,RTX 3060,XX60,Ampere,12,0,329,736.0,123.71,48,15.33,3337.052666666667,3952.13,2764.43,364.0226144067704,45939.77133333333,52633.54,40693.68,3142.4849554603607,Tom's Hardware / PCMag / 3D Center
2021-10-01,RTX 3060,XX60,Ampere,12,0,329,742.0,125.53,48,15.46,3818.7667741935484,4414.75,3307.52,327.82649298459773,57911.970645161295,65992.84,47711.49,5053.448922690946,Tom's Hardware / PCMag / 3D Center
2021-11-01,RTX 3060,XX60,Ampere,12,0,329,749.0,127.66,48,15.6,4434.127666666666,4812.09,4000.65,224.7713100277907,60621.490333333335,67566.83,53569.77,3740.8043616354616,Tom's Hardware / PCMag / 3D Center
2021-12-01,RTX 3060,XX60,Ampere,12,0,329,755.0,129.48,48,15.73,4044.7425806451615,4586.99,3628.53,234.11663561805722,49263.21,57229.83,46202.14,2740.049010084797,Tom's Hardware / PCMag / 3D Center
2022-01-01,RTX 3060,XX60,Ampere,12,0,329,761.0,131.31,48,15.85,3054.6551612903227,3829.56,2405.18,455.8077858035558,41114.42161290323,47686.81,35030.25,3484.5738869088864,Tom's Hardware / PCMag / 3D Center
2022-02-01,RTX 3060,XX60,Ampere,12,0,329,700.0,112.77,48,14.58,2868.179285714286,3239.46,2573.82,200.8464084435069,40763.474642857145,44575.2,36952.98,2554.77180994845,Tom's Hardware / PCMag / 3D Center
2022-03-01,RTX 3060,XX60,Ampere,12,0,329,600.0,82.37,48,12.5,2876.342580645161,3401.99,2497.77,279.5489753390598,41966.23774193549,47465.73,37849.66,2926.5307860784164,Tom's Hardware / PCMag / 3D Center
2022-04-01,RTX 3060,XX60,Ampere,12,0,329,485.0,47.42,48,10.1,3096.986,3522.83,2730.19,210.04957013639122,41435.319,46622.68,37714.88,2548.272869523048,Tom's Hardware / PCMag / 3D Center
