date,premium_pct_RTX_3060,premium_pct_RTX_3060_Ti,premium_pct_RTX_3060_Ti_LHR,premium_pct_RTX_3070,premium_pct_RTX_3070_LHR,premium_pct_RTX_3070_Ti,premium_pct_RTX_3080,premium_pct_RTX_3080_LHR,premium_pct_RTX_3080_Ti,premium_pct_RTX_3090,price_per_mh_RTX_3060,price_per_mh_RTX_3060_Ti,price_per_mh_RTX_3060_Ti_LHR,price_per_mh_RTX_3070,price_per_mh_RTX_3070_LHR,price_per_mh_RTX_3070_Ti,price_per_mh_RTX_3080,price_per_mh_RTX_3080_LHR,price_per_mh_RTX_3080_Ti,price_per_mh_RTX_3090,street_price_usd_RTX_3060,street_price_usd_RTX_3060_Ti,street_price_usd_RTX_3060_Ti_LHR,street_price_usd_RTX_3070,street_price_usd_RTX_3070_LHR,street_price_usd_RTX_3070_Ti,street_price_usd_RTX_3080,street_price_usd_RTX_3080_LHR,street_price_usd_RTX_3080_Ti,street_price_usd_RTX_3090,btc_avg,btc_high,btc_low,btc_std,eth_avg,eth_high,eth_low,eth_std
2020-10-01,,,,,,,85.98,,,40.09,,,,,,,13.27,,,17.5,,,,,,,1300.0,,,2100.0,11886.97806451613,13781.0,10549.33,1091.5217482469743,376.22322580645164,413.77,340.82,21.20262411229586
2020-11-01,,,,61.32,,,78.83,,,36.76,,,,12.98,,,12.76,,,17.08,,,,805.0,,,1250.0,,,2050.0,16645.757,19625.84,13550.49,1710.6033292664877,486.14433333333335,614.84,383.16,66.39171124435656
2020-12-01,,,,64.13,,,75.54,,,38.49,,,,13.21,,,12.52,,,17.3,,,,819.0,,,1227.0,,,2076.0,21983.136774193546,29001.72,18058.9,3454.3432222362103,622.4883870967742,751.62,545.8,55.50743242105963
2021-01-01,,72.93,,61.12,,,84.55,,,39.23,,11.5,,12.97,,,13.16,,,17.39,,690.0,,804.0,,,1290.0,,,2087.0,34761.64967741936,40797.61,29374.15,2943.6755194965385,1202.5029032258064,1391.61,730.37,162.76523300331576
2021-02-01,,130.58,,88.38,,,127.9,,,58.71,,15.33,,15.16,,,16.26,,,19.82,,920.0,,940.0,,,1593.0,,,2379.0,46306.79928571428,57539.95,33537.18,6380.9741849860775,1699.8082142857143,1960.16,1369.04,168.84056854198866
2021-03-01,151.67,207.27,,148.3,,,209.01,,,99.13,17.25,20.43,,19.98,,,22.04,,,24.88,828.0,1226.0,,1239.0,,,2160.0,,,2985.0,54998.00806451613,61243.09,48378.99,3713.973760696591,1736.8612903225805,1924.69,1492.61,118.95212467604874
2021-04-01,162.92,210.78,,154.51,,,226.18,,,106.8,18.02,20.67,,20.48,,,23.27,,,25.83,865.0,1240.0,,1270.0,,,2280.0,,,3100.0,57206.719333333334,63503.46,49004.25,3801.3934502721418,2297.674,2773.21,1971.08,230.9562789734052
2021-05-01,173.56,213.28,106.77,160.52,,,243.35,,,113.48,18.75,20.83,25.0,20.97,,,24.49,,,26.67,900.0,1250.0,825.0,1300.0,,,2400.0,,,3200.0,46443.287419354834,58803.78,34616.07,8918.501704551792,3140.7312903225807,4168.7,2109.58,610.0490844062847
2021-06-01,165.65,210.28,119.3,160.52,100.4,,182.98,100.29,,100.27,18.21,20.63,26.52,20.97,29.41,,20.18,25.45,,25.02,874.0,1238.0,875.0,1300.0,1000.0,,1978.0,1400.0,,3002.0,35845.155999999995,40406.27,31637.78,2375.493579768506,2335.7926666666667,2855.13,1813.22,301.9876175576756
2021-07-01,118.24,145.86,131.83,113.03,105.41,82.97,134.05,111.02,57.3,65.64,14.96,16.35,28.03,17.15,30.15,19.93,16.69,26.82,23.58,20.69,718.0,981.0,925.0,1063.0,1025.0,1096.0,1636.0,1475.0,1886.0,2483.0,34444.97516129032,42235.55,29807.35,3155.950164981349,2131.08,2536.21,1787.51,188.59930584884623
2021-08-01,119.76,133.83,113.03,141.48,100.4,90.48,144.35,111.02,52.79,71.25,15.06,15.55,25.76,19.44,29.41,20.75,17.43,26.82,22.9,21.39,723.0,933.0,850.0,1205.0,1000.0,1141.0,1708.0,1475.0,1832.0,2567.0,45709.022580645156,49546.15,38152.98,3266.435839294333,3098.3848387096773,3433.73,2502.35,234.3535155254555
2021-09-01,123.71,139.6,113.03,142.08,95.39,96.16,148.93,103.86,57.21,83.46,15.33,15.93,25.76,19.48,28.68,21.36,17.76,25.91,23.56,22.92,736.0,956.0,850.0,1208.0,975.0,1175.0,1740.0,1425.0,1885.0,2750.0,45939.77133333333,52633.54,40693.68,3142.4849554603607,3337.052666666667,3952.13,2764.43,364.0226144067704
2021-10-01,125.53,142.61,100.5,142.48,87.37,98.66,151.07,96.71,59.3,90.13,15.46,16.13,24.24,19.52,27.5,21.64,17.91,25.0,23.88,23.75,742.0,968.0,800.0,1210.0,935.0,1190.0,1755.0,1375.0,1910.0,2850.0,57911.970645161295,65992.84,47711.49,5053.448922690946,3818.7667741935484,4414.75,3307.52,327.82649298459773
2021-11-01,127.66,145.36,95.49,142.48,80.36,101.67,153.65,89.56,61.88,96.6,15.6,16.32,23.64,19.52,26.47,21.96,18.09,24.09,24.26,24.56,749.0,979.0,780.0,1210.0,900.0,1208.0,1773.0,1325.0,1941.0,2947.0,60621.490333333335,67566.83,53569.77,3740.8043616354616,4434.127666666666,4812.09,4000.65,224.7713100277907
2021-12-01,129.48,148.87,94.24,139.48,80.36,104.51,154.65,107.44,63.89,95.46,15.73,16.55,23.48,19.27,26.47,22.27,18.16,26.36,24.56,24.42,755.0,993.0,775.0,1195.0,900.0,1225.0,1780.0,1450.0,1965.0,2930.0,49263.21,57229.83,46202.14,2740.049010084797,4044.7425806451615,4586.99,3628.53,234.11663561805722
2022-01-01,131.31,152.38,75.44,136.27,65.33,107.68,155.08,60.94,66.14,94.66,15.85,16.78,21.21,19.02,24.26,22.62,18.19,20.45,24.9,24.32,761.0,1007.0,700.0,1179.0,825.0,1244.0,1783.0,1125.0,1992.0,2918.0,41114.42161290323,47686.81,35030.25,3484.5738869088864,3054.6551612903227,3829.56,2405.18,455.8077858035558
2022-02-01,112.77,133.08,62.91,120.44,55.31,88.65,143.2,53.79,48.46,76.78,14.58,15.5,19.7,17.74,22.79,20.55,17.35,19.55,22.25,22.08,700.0,930.0,650.0,1100.0,775.0,1130.0,1700.0,1075.0,1780.0,2650.0,40763.474642857145,44575.2,36952.98,2554.77180994845,2868.179285714286,3239.46,2573.82,200.8464084435069
2022-03-01,82.37,100.5,55.39,90.38,45.29,50.25,114.59,43.06,20.93,46.76,12.5,13.33,18.79,15.32,21.32,16.36,15.31,18.18,18.12,18.33,600.0,800.0,620.0,950.0,725.0,900.0,1500.0,1000.0,1450.0,2200.0,41966.23774193549,47465.73,37849.66,2926.5307860784164,2876.342580645161,3401.99,2497.77,279.5489753390598
2022-04-01,47.42,64.91,37.84,54.91,30.26,28.88,61.52,21.6,-2.59,22.55,10.1,10.97,16.67,12.47,19.12,14.04,11.52,15.45,14.6,15.31,485.0,658.0,550.0,773.0,650.0,772.0,1129.0,850.0,1168.0,1837.0,41435.319,46622.68,37714.88,2548.272869523048,3096.986,3522.83,2730.19,210.04957013639122
2022-05-01,27.66,37.84,22.81,30.26,18.24,13.52,35.91,14.45,-12.43,0.07,8.75,9.17,14.85,10.48,17.35,12.36,9.69,14.55,13.12,12.5,420.0,550.0,490.0,650.0,590.0,680.0,950.0,800.0,1050.0,1500.0,31706.104838709678,39698.37,28627.57,3438.469405614339,2187.3190322580645,2940.64,1724.92,364.8316156014517
2022-06-01,18.54,20.3,12.78,10.22,10.22,3.51,11.59,7.3,-18.27,-19.95,8.12,8.0,13.64,8.87,16.18,11.27,7.96,13.64,12.25,10.0,390.0,480.0,450.0,550.0,550.0,620.0,780.0,750.0,980.0,1200.0,24383.685333333335,31370.67,19017.64,4561.581308771028,1382.7720000000002,1859.29,993.64,315.89575522357984
2022-07-01,10.94,8.52,7.77,-0.8,-1.8,-2.0,1.14,-3.43,-23.19,-30.42,7.6,7.22,13.03,7.98,14.41,10.67,7.21,12.27,11.51,8.69,365.0,433.0,430.0,495.0,490.0,587.0,707.0,675.0,921.0,1043.0,21539.254516129033,23843.89,19242.26,1473.8311095188628,1359.4090322580646,1727.41,1038.19,231.35124909042293
2022-08-01,7.9,5.26,2.76,-3.81,-9.82,-4.84,-1.29,-10.59,-25.77,-33.29,7.4,7.0,12.42,7.74,13.24,10.36,7.04,11.36,11.12,8.33,355.0,420.0,410.0,480.0,450.0,570.0,690.0,625.0,890.0,1000.0,22366.266129032258,24424.07,19616.81,1545.3153807981007,1699.2312903225807,1981.34,1430.55,149.0058024539523
2022-09-01,5.78,2.76,-6.02,-5.81,-15.83,-7.35,-3.43,-14.16,-27.86,-35.29,7.25,6.83,11.36,7.58,12.35,10.09,6.89,10.91,10.81,8.08,348.0,410.0,375.0,470.0,420.0,555.0,675.0,600.0,865.0,970.0,19817.641034482756,22370.45,18547.4,933.4691683995046,1489.6179310344828,1776.2,1252.61,160.3561640175507
