date,BTC_price_usd,ETH_price_usd
2019-01-01,3843.52,140.82
2019-01-02,3943.41,155.05
2019-01-03,3836.74,149.14
2019-01-04,3857.72,154.58
2019-01-05,3845.19,155.64
2019-01-06,4076.63,157.75
2019-01-07,4025.25,151.7
2019-01-08,4030.85,150.36
2019-01-09,4035.3,150.8
2019-01-10,3678.92,128.63
2019-01-11,3687.37,127.55
2019-01-12,3661.3,125.97
2019-01-13,3552.95,116.9
2019-01-14,3706.05,129.07
2019-01-15,3630.68,122.03
2019-01-16,3655.01,123.55
2019-01-17,3678.56,123.74
2019-01-18,3657.84,121.01
2019-01-19,3728.57,124.52
2019-01-20,3601.01,119.47
2019-01-21,3576.03,117.16
2019-01-22,3604.58,118.75
2019-01-23,3585.12,117.45
2019-01-24,3600.87,117.36
2019-01-25,3599.77,116.38
2019-01-26,3602.46,116.49
2019-01-27,3583.97,113.41
2019-01-28,3470.45,106.59
2019-01-29,3448.12,105.6
2019-01-30,3486.18,108.91
2019-01-31,3457.79,107.06
2019-02-01,3487.95,107.61
2019-02-02,3521.06,110.43
2019-02-03,3464.01,107.49
2019-02-04,3459.15,107.82
2019-02-05,3466.36,107.44
2019-02-06,3413.77,104.92
2019-02-07,3399.47,104.54
2019-02-08,3666.78,119.27
2019-02-09,3671.2,119.43
2019-02-10,3690.19,124.81
2019-02-11,3648.43,121.3
2019-02-12,3653.53,122.57
2019-02-13,3632.07,122.55
2019-02-14,3616.88,121.39
2019-02-15,3620.81,122.1
2019-02-16,3629.79,123.26
2019-02-17,3673.84,133.6
2019-02-18,3915.71,146.1
2019-02-19,3947.09,145.35
2019-02-20,3999.82,149.55
2019-02-21,3954.12,146.13
2019-02-22,4005.53,149.09
2019-02-23,4142.53,158.8
2019-02-24,3810.43,135.85
2019-02-25,3882.7,139.82
2019-02-26,3854.36,138.09
2019-02-27,3851.05,136.13
2019-02-28,3854.79,136.75
2019-03-01,3859.58,136.44
2019-03-02,3864.42,134.21
2019-03-03,3847.18,132.25
2019-03-04,3761.56,127.77
2019-03-05,3896.38,137.82
2019-03-06,3903.94,138.79
2019-03-07,3911.48,138.03
2019-03-08,3901.13,135.13
2019-03-09,3963.31,137.97
2019-03-10,3951.6,136.76
2019-03-11,3905.23,133.83
2019-03-12,3909.16,134.44
2019-03-13,3906.72,133.26
2019-03-14,3924.37,133.71
2019-03-15,3960.91,137.69
2019-03-16,4048.73,142.4
2019-03-17,4025.23,140.0
2019-03-18,4032.51,139.37
2019-03-19,4071.19,140.52
2019-03-20,4087.48,140.69
2019-03-21,4029.33,136.64
2019-03-22,4023.97,137.18
2019-03-23,4035.83,138.24
2019-03-24,4022.17,136.99
2019-03-25,3963.07,135.03
2019-03-26,3985.08,135.46
2019-03-27,4087.07,140.99
2019-03-28,4069.11,139.42
2019-03-29,4098.37,142.5
2019-03-30,4106.66,142.09
2019-03-31,4105.4,141.51
2019-04-01,4158.18,141.83
2019-04-02,4879.88,163.96
2019-04-03,4973.02,161.46
2019-04-04,4922.8,158.05
2019-04-05,5036.68,165.51
2019-04-06,5059.82,165.95
2019-04-07,5198.9,174.53
2019-04-08,5289.77,180.26
2019-04-09,5204.96,176.11
2019-04-10,5324.55,177.34
2019-04-11,5064.49,165.5
2019-04-12,5089.54,164.74
2019-04-13,5096.59,164.51
2019-04-14,5167.72,167.84
2019-04-15,5067.11,161.57
2019-04-16,5235.56,167.62
2019-04-17,5251.94,166.95
2019-04-18,5298.39,173.81
