date,model,tier,ebay_avg_price_usd,data_source,lhr
2020-10-01,RTX 3080,XX80,1300.0,Tom's Hardware / PCMag / 3D Center,0
2020-10-01,RTX 3090,XX90,2100.0,Tom's Hardware / PCMag / 3D Center,0
2020-11-01,RTX 3070,XX70,805.0,Tom's Hardware / PCMag / 3D Center,0
2020-11-01,RTX 3080,XX80,1250.0,Tom's Hardware / PCMag / 3D Center,0
2020-11-01,RTX 3090,XX90,2050.0,Tom's Hardware / PCMag / 3D Center,0
2020-12-01,RTX 3070,XX70,819.0,Tom's Hardware / PCMag / 3D Center,0
2020-12-01,RTX 3080,XX80,1227.0,Tom's Hardware / PCMag / 3D Center,0
2020-12-01,RTX 3090,XX90,2076.0,Tom's Hardware / PCMag / 3D Center,0
2021-01-01,RTX 3060 Ti,XX60,690.0,Tom's Hardware / PCMag / 3D Center,0
2021-01-01,RTX 3070,XX70,804.0,Tom's Hardware / PCMag / 3D Center,0
2021-01-01,RTX 3080,XX80,1290.0,Tom's Hardware / PCMag / 3D Center,0
2021-01-01,RTX 3090,XX90,2087.0,Tom's Hardware / PCMag / 3D Center,0
2021-02-01,RTX 3060 Ti,XX60,920.0,Tom's Hardware / PCMag / 3D Center,0
2021-02-01,RTX 3070,XX70,940.0,Tom's Hardware / PCMag / 3D Center,0
2021-02-01,RTX 3080,XX80,1593.0,Tom's Hardware / PCMag / 3D Center,0
2021-02-01,RTX 3090,XX90,2379.0,Tom's Hardware / PCMag / 3D Center,0
2021-03-01,RTX 3060,XX60,828.0,Tom's Hardware / PCMag / 3D Center,0
2021-03-01,RTX 3060 Ti,XX60,1226.0,Tom's Hardware / PCMag / 3D Center,0
2021-03-01,RTX 3070,XX70,1239.0,Tom's Hardware / PCMag / 3D Center,0
2021-03-01,RTX 3080,XX80,2160.0,Tom's Hardware / PCMag / 3D Center,0
2021-03-01,RTX 3090,XX90,2985.0,Tom's Hardware / PCMag / 3D Center,0
2021-04-01,RTX 3060,XX60,865.0,Tom's Hardware / PCMag / 3D Center,0
2021-04-01,RTX 3060 Ti,XX60,1240.0,Tom's Hardware / PCMag / 3D Center,0
