model,tier,vram_gb,lhr,release_date,eth_hashrate_mh,msrp_usd,architecture
RTX 3060,XX60,12,0,2021-02-25,48,329,Ampere
RTX 3060 Ti,XX60,8,0,2020-12-02,60,399,Ampere
RTX 3070,XX70,8,0,2020-10-29,62,499,Ampere
RTX 3070 LHR,XX70,8,1,2021-05-19,34,499,Ampere
RTX 3070 Ti,XX70,8,0,2021-06-10,55,599,Ampere
RTX 3080,XX80,10,0,2020-09-17,98,699,Ampere
RTX 3080 LHR,XX80,10,1,2021-05-19,55,699,Ampere
RTX 3080 Ti,XX80,12,0,2021-06-03,80,1199,Ampere
RTX 3090,XX90,24,0,2020-09-24,120,1499,Ampere
RTX 3060 Ti LHR,XX60,8,1,2021-05-19,33,399,Ampere
