date,model,tier,vram_gb,lhr,msrp_usd,street_price_usd,architecture
2021-03-01,RTX 3060,XX60,12,0,329,281.66,Ampere
2021-04-01,RTX 3060,XX60,12,0,329,320.87,Ampere
2021-05-01,RTX 3060,XX60,12,0,329,313.13,Ampere
2021-06-01,RTX 3060,XX60,12,0,329,308.19,Ampere
2021-07-01,RTX 3060,XX60,12,0,329,316.12,Ampere
2021-08-01,RTX 3060,XX60,12,0,329,306.78,Ampere
2021-09-01,RTX 3060,XX60,12,0,329,319.02,Ampere
2021-10-01,RTX 3060,XX60,12,0,329,324.14,Ampere
2021-11-01,RTX 3060,XX60,12,0,329,309.27,Ampere
2021-12-01,RTX 3060,XX60,12,0,329,331.87,Ampere
2022-01-01,RTX 3060,XX60,12,0,329,330.87,Ampere
2022-02-01,RTX 3060,XX60,12,0,329,344.28,Ampere
2022-03-01,RTX 3060,XX60,12,0,329,318.87,Ampere
2022-04-01,RTX 3060,XX60,12,0,329,349.07,Ampere
2022-05-01,RTX 3060,XX60,12,0,329,390.8,Ampere
2022-06-01,RTX 3060,XX60,12,0,329,361.05,Ampere
2022-07-01,RTX 3060,XX60,12,0,329,387.9,Ampere
2022-08-01,RTX 3060,XX60,12,0,329,382.58,Ampere
2022-09-01,RTX 3060,XX60,12,0,329,402.16,Ampere
2021-06-01,RTX 3060 LHR,XX60,12,1,329,311.93,Ampere
2021-07-01,RTX 3060 LHR,XX60,12,1,329,295.84,Ampere
2021-08-01,RTX 3060 LHR,XX60,12,1,329,315.71,Ampere
2021-09-01,RTX 3060 LHR,XX60,12,1,329,306.79,Ampere
2021-10-01,RTX 3060 LHR,XX60,12,1,329,318.59,Ampere
2021-11-01,RTX 3060 LHR,XX60,12,1,329,304.11,Ampere
2021-12-01,RTX 3060 LHR,XX60,12,1,329,328.97,Ampere
2022-01-01,RTX 3060 LHR,XX60,12,1,329,319.61,Ampere
2022-02-01,RTX 3060 LHR,XX60,12,1,329,331.08,Ampere
2022-03-01,RTX 3060 LHR,XX60,12,1,329,314.85,Ampere
2022-04-01,RTX 3060 LHR,XX60,12,1,329,335.31,Ampere
2022-05-01,RTX 3060 LHR,XX60,12,1,329,353.99,Ampere
2022-06-01,RTX 3060 LHR,XX60,12,1,329,345.35,Ampere
2022-07-01,RTX 3060 LHR,XX60,12,1,329,339.47,Ampere
2022-08-01,RTX 3060 LHR,XX60,12,1,329,383.83,Ampere
2022-09-01,RTX 3060 LHR,XX60,12,1,329,357.46,Ampere
2021-01-01,RTX 3060 Ti,XX60,8,0,399,352.84,Ampere
2021-02-01,RTX 3060 Ti,XX60,8,0,399,351.09,Ampere
2021-03-01,RTX 3060 Ti,XX60,8,0,399,358.05,Ampere
2021-04-01,RTX 3060 Ti,XX60,8,0,399,356.28,Ampere
2021-05-01,RTX 3060 Ti,XX60,8,0,399,391.37,Ampere
2021-06-01,RTX 3060 Ti,XX60,8,0,399,389.76,Ampere
2021-07-01,RTX 3060 Ti,XX60,8,0,399,371.94,Ampere
2021-08-01,RTX 3060 Ti,XX60,8,0,399,378.13,Ampere
2021-09-01,RTX 3060 Ti,XX60,8,0,399,378.84,Ampere
2021-10-01,RTX 3060 Ti,XX60,8,0,399,370.59,Ampere
2021-11-01,RTX 3060 Ti,XX60,8,0,399,391.28,Ampere
2021-12-01,RTX 3060 Ti,XX60,8,0,399,417.18,Ampere
2022-01-01,RTX 3060 Ti,XX60,8,0,399,405.79,Ampere
2022-02-01,RTX 3060 Ti,XX60,8,0,399,370.18,Ampere
2022-03-01,RTX 3060 Ti,XX60,8,0,399,405.48,Ampere
2022-04-01,RTX 3060 Ti,XX60,8,0,399,448.07,Ampere
2022-05-01,RTX 3060 Ti,XX60,8,0,399,422.84,Ampere
2022-06-01,RTX 3060 Ti,XX60,8,0,399,450.35,Ampere
2022-07-01,RTX 3060 Ti,XX60,8,0,399,448.08,Ampere
2022-08-01,RTX 3060 Ti,XX60,8,0,399,479.56,Ampere
2022-09-01,RTX 3060 Ti,XX60,8,0,399,494.09,Ampere
2021-06-01,RTX 3060 Ti LHR,XX60,8,1,399,377.45,Ampere
2021-07-01,RTX 3060 Ti LHR,XX60,8,1,399,419.43,Ampere
2021-08-01,RTX 3060 Ti LHR,XX60,8,1,399,387.1,Ampere
2021-09-01,RTX 3060 Ti LHR,XX60,8,1,399,370.94,Ampere
2021-10-01,RTX 3060 Ti LHR,XX60,8,1,399,362.06,Ampere
2021-11-01,RTX 3060 Ti LHR,XX60,8,1,399,374.58,Ampere
2021-12-01,RTX 3060 Ti LHR,XX60,8,1,399,392.92,Ampere
2022-01-01,RTX 3060 Ti LHR,XX60,8,1,399,377.08,Ampere
2022-02-01,RTX 3060 Ti LHR,XX60,8,1,399,411.33,Ampere
2022-03-01,RTX 3060 Ti LHR,XX60,8,1,399,417.07,Ampere
2022-04-01,RTX 3060 Ti LHR,XX60,8,1,399,441.01,Ampere
2022-05-01,RTX 3060 Ti LHR,XX60,8,1,399,417.6,Ampere
2022-06-01,RTX 3060 Ti LHR,XX60,8,1,399,443.5,Ampere
2022-07-01,RTX 3060 Ti LHR,XX60,8,1,399,438.79,Ampere
2022-08-01,RTX 3060 Ti LHR,XX60,8,1,399,435.43,Ampere
2022-09-01,RTX 3060 Ti LHR,XX60,8,1,399,442.87,Ampere
2020-11-01,RTX 3070,XX70,8,0,499,413.08,Ampere
2020-12-01,RTX 3070,XX70,8,0,499,431.82,Ampere
2021-01-01,RTX 3070,XX70,8,0,499,438.76,Ampere
2021-02-01,RTX 3070,XX70,8,0,499,443.12,Ampere
2021-03-01,RTX 3070,XX70,8,0,499,422.38,Ampere
2021-04-01,RTX 3070,XX70,8,0,499,448.93,Ampere
2021-05-01,RTX 3070,XX70,8,0,499,462.13,Ampere
2021-06-01,RTX 3070,XX70,8,0,499,492.05,Ampere
2021-07-01,RTX 3070,XX70,8,0,499,451.02,Ampere
2021-08-01,RTX 3070,XX70,8,0,499,451.36,Ampere
2021-09-01,RTX 3070,XX70,8,0,499,464.36,Ampere
2021-10-01,RTX 3070,XX70,8,0,499,487.7,Ampere
2021-11-01,RTX 3070,XX70,8,0,499,484.29,Ampere
2021-12-01,RTX 3070,XX70,8,0,499,542.76,Ampere
2022-01-01,RTX 3070,XX70,8,0,499,491.27,Ampere
2022-02-01,RTX 3070,XX70,8,0,499,519.3,Ampere
2022-03-01,RTX 3070,XX70,8,0,499,509.29,Ampere
2022-04-01,RTX 3070,XX70,8,0,499,539.8,Ampere
2022-05-01,RTX 3070,XX70,8,0,499,550.05,Ampere
2022-06-01,RTX 3070,XX70,8,0,499,585.83,Ampere
2022-07-01,RTX 3070,XX70,8,0,499,599.68,Ampere
2022-08-01,RTX 3070,XX70,8,0,499,608.89,Ampere
2022-09-01,RTX 3070,XX70,8,0,499,593.83,Ampere
2021-06-01,RTX 3070 LHR,XX70,8,1,499,473.52,Ampere
2021-07-01,RTX 3070 LHR,XX70,8,1,499,461.17,Ampere
2021-08-01,RTX 3070 LHR,XX70,8,1,499,463.47,Ampere
2021-09-01,RTX 3070 LHR,XX70,8,1,499,491.04,Ampere
2021-10-01,RTX 3070 LHR,XX70,8,1,499,507.71,Ampere
2021-11-01,RTX 3070 LHR,XX70,8,1,499,502.21,Ampere
2021-12-01,RTX 3070 LHR,XX70,8,1,499,503.86,Ampere
2022-01-01,RTX 3070 LHR,XX70,8,1,499,511.05,Ampere
2022-02-01,RTX 3070 LHR,XX70,8,1,499,461.98,Ampere
2022-03-01,RTX 3070 LHR,XX70,8,1,499,510.01,Ampere
2022-04-01,RTX 3070 LHR,XX70,8,1,499,510.49,Ampere
2022-05-01,RTX 3070 LHR,XX70,8,1,499,552.4,Ampere
2022-06-01,RTX 3070 LHR,XX70,8,1,499,545.45,Ampere
2022-07-01,RTX 3070 LHR,XX70,8,1,499,556.39,Ampere
2022-08-01,RTX 3070 LHR,XX70,8,1,499,586.35,Ampere
2022-09-01,RTX 3070 LHR,XX70,8,1,499,543.18,Ampere
2021-07-01,RTX 3070 Ti,XX70,8,0,599,573.84,Ampere
2021-08-01,RTX 3070 Ti,XX70,8,0,599,555.68,Ampere
2021-09-01,RTX 3070 Ti,XX70,8,0,599,574.52,Ampere
2021-10-01,RTX 3070 Ti,XX70,8,0,599,584.3,Ampere
2021-11-01,RTX 3070 Ti,XX70,8,0,599,569.47,Ampere
2021-12-01,RTX 3070 Ti,XX70,8,0,599,617.66,Ampere
2022-01-01,RTX 3070 Ti,XX70,8,0,599,605.7,Ampere
2022-02-01,RTX 3070 Ti,XX70,8,0,599,592.25,Ampere
2022-03-01,RTX 3070 Ti,XX70,8,0,599,619.28,Ampere
2022-04-01,RTX 3070 Ti,XX70,8,0,599,664.76,Ampere
2022-05-01,RTX 3070 Ti,XX70,8,0,599,673.43,Ampere
